Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"14 W COLD-SPRING LN PS BALTIMORE MD 21210"
"Account Number",5522061000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732483-1,2024-01-01,00:00,30.06,kWh
"Electric Usage",G159732483-1,2024-01-01,00:15,29.19,kWh
"Electric Usage",G159732483-1,2024-01-01,00:30,28.8,kWh
"Electric Usage",G159732483-1,2024-01-01,00:45,29.88,kWh
"Electric Usage",G159732483-1,2024-01-01,01:00,28.89,kWh
"Electric Usage",G159732483-1,2024-01-01,01:15,28.89,kWh
"Electric Usage",G159732483-1,2024-01-01,01:30,28.71,kWh
"Electric Usage",G159732483-1,2024-01-01,01:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-01,02:00,29.25,kWh
"Electric Usage",G159732483-1,2024-01-01,02:15,28.74,kWh
"Electric Usage",G159732483-1,2024-01-01,02:30,29.61,kWh
"Electric Usage",G159732483-1,2024-01-01,02:45,29.04,kWh
"Electric Usage",G159732483-1,2024-01-01,03:00,28.38,kWh
"Electric Usage",G159732483-1,2024-01-01,03:15,29.37,kWh
"Electric Usage",G159732483-1,2024-01-01,03:30,28.8,kWh
"Electric Usage",G159732483-1,2024-01-01,03:45,29.01,kWh
"Electric Usage",G159732483-1,2024-01-01,04:00,29.16,kWh
"Electric Usage",G159732483-1,2024-01-01,04:15,28.56,kWh
"Electric Usage",G159732483-1,2024-01-01,04:30,29.07,kWh
"Electric Usage",G159732483-1,2024-01-01,04:45,28.8,kWh
"Electric Usage",G159732483-1,2024-01-01,05:00,29.25,kWh
"Electric Usage",G159732483-1,2024-01-01,05:15,29.04,kWh
"Electric Usage",G159732483-1,2024-01-01,05:30,27.99,kWh
"Electric Usage",G159732483-1,2024-01-01,05:45,29.22,kWh
"Electric Usage",G159732483-1,2024-01-01,06:00,28.83,kWh
"Electric Usage",G159732483-1,2024-01-01,06:15,28.68,kWh
"Electric Usage",G159732483-1,2024-01-01,06:30,29.13,kWh
"Electric Usage",G159732483-1,2024-01-01,06:45,28.5,kWh
"Electric Usage",G159732483-1,2024-01-01,07:00,28.65,kWh
"Electric Usage",G159732483-1,2024-01-01,07:15,28.77,kWh
"Electric Usage",G159732483-1,2024-01-01,07:30,29.34,kWh
"Electric Usage",G159732483-1,2024-01-01,07:45,28.68,kWh
"Electric Usage",G159732483-1,2024-01-01,08:00,29.4,kWh
"Electric Usage",G159732483-1,2024-01-01,08:15,28.8,kWh
"Electric Usage",G159732483-1,2024-01-01,08:30,28.44,kWh
"Electric Usage",G159732483-1,2024-01-01,08:45,28.68,kWh
"Electric Usage",G159732483-1,2024-01-01,09:00,26.73,kWh
"Electric Usage",G159732483-1,2024-01-01,09:15,27.09,kWh
"Electric Usage",G159732483-1,2024-01-01,09:30,27.24,kWh
"Electric Usage",G159732483-1,2024-01-01,09:45,27.21,kWh
"Electric Usage",G159732483-1,2024-01-01,10:00,27.99,kWh
"Electric Usage",G159732483-1,2024-01-01,10:15,27.72,kWh
"Electric Usage",G159732483-1,2024-01-01,10:30,26.91,kWh
"Electric Usage",G159732483-1,2024-01-01,10:45,27.9,kWh
"Electric Usage",G159732483-1,2024-01-01,11:00,28.68,kWh
"Electric Usage",G159732483-1,2024-01-01,11:15,29.01,kWh
"Electric Usage",G159732483-1,2024-01-01,11:30,28.65,kWh
"Electric Usage",G159732483-1,2024-01-01,11:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-01,12:00,28.17,kWh
"Electric Usage",G159732483-1,2024-01-01,12:15,28.32,kWh
"Electric Usage",G159732483-1,2024-01-01,12:30,28.53,kWh
"Electric Usage",G159732483-1,2024-01-01,12:45,27.99,kWh
"Electric Usage",G159732483-1,2024-01-01,13:00,28.68,kWh
"Electric Usage",G159732483-1,2024-01-01,13:15,27.99,kWh
"Electric Usage",G159732483-1,2024-01-01,13:30,28.47,kWh
"Electric Usage",G159732483-1,2024-01-01,13:45,28.23,kWh
"Electric Usage",G159732483-1,2024-01-01,14:00,27.69,kWh
"Electric Usage",G159732483-1,2024-01-01,14:15,28.53,kWh
"Electric Usage",G159732483-1,2024-01-01,14:30,28.83,kWh
"Electric Usage",G159732483-1,2024-01-01,14:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-01,15:00,29.43,kWh
"Electric Usage",G159732483-1,2024-01-01,15:15,29.07,kWh
"Electric Usage",G159732483-1,2024-01-01,15:30,29.73,kWh
"Electric Usage",G159732483-1,2024-01-01,15:45,29.25,kWh
"Electric Usage",G159732483-1,2024-01-01,16:00,30.12,kWh
"Electric Usage",G159732483-1,2024-01-01,16:15,30.33,kWh
"Electric Usage",G159732483-1,2024-01-01,16:30,29.67,kWh
"Electric Usage",G159732483-1,2024-01-01,16:45,30.84,kWh
"Electric Usage",G159732483-1,2024-01-01,17:00,30.45,kWh
"Electric Usage",G159732483-1,2024-01-01,17:15,30.15,kWh
"Electric Usage",G159732483-1,2024-01-01,17:30,30.57,kWh
"Electric Usage",G159732483-1,2024-01-01,17:45,29.22,kWh
"Electric Usage",G159732483-1,2024-01-01,18:00,29.85,kWh
"Electric Usage",G159732483-1,2024-01-01,18:15,30.03,kWh
"Electric Usage",G159732483-1,2024-01-01,18:30,29.43,kWh
"Electric Usage",G159732483-1,2024-01-01,18:45,30.33,kWh
"Electric Usage",G159732483-1,2024-01-01,19:00,29.58,kWh
"Electric Usage",G159732483-1,2024-01-01,19:15,29.25,kWh
"Electric Usage",G159732483-1,2024-01-01,19:30,30.15,kWh
"Electric Usage",G159732483-1,2024-01-01,19:45,29.58,kWh
"Electric Usage",G159732483-1,2024-01-01,20:00,30.69,kWh
"Electric Usage",G159732483-1,2024-01-01,20:15,30.33,kWh
"Electric Usage",G159732483-1,2024-01-01,20:30,29.1,kWh
"Electric Usage",G159732483-1,2024-01-01,20:45,30.36,kWh
"Electric Usage",G159732483-1,2024-01-01,21:00,30.03,kWh
"Electric Usage",G159732483-1,2024-01-01,21:15,30.48,kWh
"Electric Usage",G159732483-1,2024-01-01,21:30,30.75,kWh
"Electric Usage",G159732483-1,2024-01-01,21:45,29.55,kWh
"Electric Usage",G159732483-1,2024-01-01,22:00,30.15,kWh
"Electric Usage",G159732483-1,2024-01-01,22:15,29.85,kWh
"Electric Usage",G159732483-1,2024-01-01,22:30,30.27,kWh
"Electric Usage",G159732483-1,2024-01-01,22:45,30.24,kWh
"Electric Usage",G159732483-1,2024-01-01,23:00,30.75,kWh
"Electric Usage",G159732483-1,2024-01-01,23:15,30.48,kWh
"Electric Usage",G159732483-1,2024-01-01,23:30,29.7,kWh
"Electric Usage",G159732483-1,2024-01-01,23:45,30.3,kWh
"Electric Usage",G159732483-1,2024-01-02,00:00,28.89,kWh
"Electric Usage",G159732483-1,2024-01-02,00:15,29.07,kWh
"Electric Usage",G159732483-1,2024-01-02,00:30,29.49,kWh
"Electric Usage",G159732483-1,2024-01-02,00:45,29.04,kWh
"Electric Usage",G159732483-1,2024-01-02,01:00,29.67,kWh
"Electric Usage",G159732483-1,2024-01-02,01:15,28.65,kWh
"Electric Usage",G159732483-1,2024-01-02,01:30,28.8,kWh
"Electric Usage",G159732483-1,2024-01-02,01:45,28.98,kWh
"Electric Usage",G159732483-1,2024-01-02,02:00,28.41,kWh
"Electric Usage",G159732483-1,2024-01-02,02:15,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,02:30,29.04,kWh
"Electric Usage",G159732483-1,2024-01-02,02:45,28.95,kWh
"Electric Usage",G159732483-1,2024-01-02,03:00,28.56,kWh
"Electric Usage",G159732483-1,2024-01-02,03:15,28.62,kWh
"Electric Usage",G159732483-1,2024-01-02,03:30,28.74,kWh
"Electric Usage",G159732483-1,2024-01-02,03:45,28.68,kWh
"Electric Usage",G159732483-1,2024-01-02,04:00,29.1,kWh
"Electric Usage",G159732483-1,2024-01-02,04:15,28.68,kWh
"Electric Usage",G159732483-1,2024-01-02,04:30,28.98,kWh
"Electric Usage",G159732483-1,2024-01-02,04:45,29.07,kWh
"Electric Usage",G159732483-1,2024-01-02,05:00,28.62,kWh
"Electric Usage",G159732483-1,2024-01-02,05:15,29.1,kWh
"Electric Usage",G159732483-1,2024-01-02,05:30,28.74,kWh
"Electric Usage",G159732483-1,2024-01-02,05:45,28.74,kWh
"Electric Usage",G159732483-1,2024-01-02,06:00,29.16,kWh
"Electric Usage",G159732483-1,2024-01-02,06:15,28.59,kWh
"Electric Usage",G159732483-1,2024-01-02,06:30,29.76,kWh
"Electric Usage",G159732483-1,2024-01-02,06:45,28.95,kWh
"Electric Usage",G159732483-1,2024-01-02,07:00,29.28,kWh
"Electric Usage",G159732483-1,2024-01-02,07:15,29.64,kWh
"Electric Usage",G159732483-1,2024-01-02,07:30,29.52,kWh
"Electric Usage",G159732483-1,2024-01-02,07:45,29.88,kWh
"Electric Usage",G159732483-1,2024-01-02,08:00,29.31,kWh
"Electric Usage",G159732483-1,2024-01-02,08:15,29.49,kWh
"Electric Usage",G159732483-1,2024-01-02,08:30,28.89,kWh
"Electric Usage",G159732483-1,2024-01-02,08:45,29.94,kWh
"Electric Usage",G159732483-1,2024-01-02,09:00,29.58,kWh
"Electric Usage",G159732483-1,2024-01-02,09:15,28.68,kWh
"Electric Usage",G159732483-1,2024-01-02,09:30,28.5,kWh
"Electric Usage",G159732483-1,2024-01-02,09:45,27.75,kWh
"Electric Usage",G159732483-1,2024-01-02,10:00,29.22,kWh
"Electric Usage",G159732483-1,2024-01-02,10:15,28.71,kWh
"Electric Usage",G159732483-1,2024-01-02,10:30,28.68,kWh
"Electric Usage",G159732483-1,2024-01-02,10:45,28.41,kWh
"Electric Usage",G159732483-1,2024-01-02,11:00,27.93,kWh
"Electric Usage",G159732483-1,2024-01-02,11:15,28.56,kWh
"Electric Usage",G159732483-1,2024-01-02,11:30,28.89,kWh
"Electric Usage",G159732483-1,2024-01-02,11:45,28.86,kWh
"Electric Usage",G159732483-1,2024-01-02,12:00,28.38,kWh
"Electric Usage",G159732483-1,2024-01-02,12:15,28.71,kWh
"Electric Usage",G159732483-1,2024-01-02,12:30,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,12:45,28.77,kWh
"Electric Usage",G159732483-1,2024-01-02,13:00,28.89,kWh
"Electric Usage",G159732483-1,2024-01-02,13:15,28.98,kWh
"Electric Usage",G159732483-1,2024-01-02,13:30,28.71,kWh
"Electric Usage",G159732483-1,2024-01-02,13:45,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,14:00,28.77,kWh
"Electric Usage",G159732483-1,2024-01-02,14:15,28.41,kWh
"Electric Usage",G159732483-1,2024-01-02,14:30,29.01,kWh
"Electric Usage",G159732483-1,2024-01-02,14:45,28.08,kWh
"Electric Usage",G159732483-1,2024-01-02,15:00,28.68,kWh
"Electric Usage",G159732483-1,2024-01-02,15:15,28.53,kWh
"Electric Usage",G159732483-1,2024-01-02,15:30,27.9,kWh
"Electric Usage",G159732483-1,2024-01-02,15:45,28.83,kWh
"Electric Usage",G159732483-1,2024-01-02,16:00,28.35,kWh
"Electric Usage",G159732483-1,2024-01-02,16:15,28.35,kWh
"Electric Usage",G159732483-1,2024-01-02,16:30,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,16:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,17:00,29.46,kWh
"Electric Usage",G159732483-1,2024-01-02,17:15,29.73,kWh
"Electric Usage",G159732483-1,2024-01-02,17:30,29.46,kWh
"Electric Usage",G159732483-1,2024-01-02,17:45,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,18:00,29.01,kWh
"Electric Usage",G159732483-1,2024-01-02,18:15,29.25,kWh
"Electric Usage",G159732483-1,2024-01-02,18:30,29.79,kWh
"Electric Usage",G159732483-1,2024-01-02,18:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,19:00,29.64,kWh
"Electric Usage",G159732483-1,2024-01-02,19:15,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,19:30,29.88,kWh
"Electric Usage",G159732483-1,2024-01-02,19:45,29.28,kWh
"Electric Usage",G159732483-1,2024-01-02,20:00,29.52,kWh
"Electric Usage",G159732483-1,2024-01-02,20:15,30.18,kWh
"Electric Usage",G159732483-1,2024-01-02,20:30,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,20:45,30.18,kWh
"Electric Usage",G159732483-1,2024-01-02,21:00,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,21:15,29.52,kWh
"Electric Usage",G159732483-1,2024-01-02,21:30,30.15,kWh
"Electric Usage",G159732483-1,2024-01-02,21:45,29.13,kWh
"Electric Usage",G159732483-1,2024-01-02,22:00,30.03,kWh
"Electric Usage",G159732483-1,2024-01-02,22:15,29.61,kWh
"Electric Usage",G159732483-1,2024-01-02,22:30,29.97,kWh
"Electric Usage",G159732483-1,2024-01-02,22:45,29.4,kWh
"Electric Usage",G159732483-1,2024-01-02,23:00,29.34,kWh
"Electric Usage",G159732483-1,2024-01-02,23:15,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,23:30,29.37,kWh
