Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-01,00:00,35.61,kWh
"Electric Usage",G159732081-1,2024-01-01,00:15,35.35,kWh
"Electric Usage",G159732081-1,2024-01-01,00:30,35.07,kWh
"Electric Usage",G159732081-1,2024-01-01,00:45,34.93,kWh
"Electric Usage",G159732081-1,2024-01-01,01:00,34.73,kWh
"Electric Usage",G159732081-1,2024-01-01,01:15,35.27,kWh
"Electric Usage",G159732081-1,2024-01-01,01:30,35.65,kWh
"Electric Usage",G159732081-1,2024-01-01,01:45,35.23,kWh
"Electric Usage",G159732081-1,2024-01-01,02:00,35,kWh
"Electric Usage",G159732081-1,2024-01-01,02:15,34.95,kWh
"Electric Usage",G159732081-1,2024-01-01,02:30,35.55,kWh
"Electric Usage",G159732081-1,2024-01-01,02:45,35.03,kWh
"Electric Usage",G159732081-1,2024-01-01,03:00,35.29,kWh
"Electric Usage",G159732081-1,2024-01-01,03:15,35.45,kWh
"Electric Usage",G159732081-1,2024-01-01,03:30,34.49,kWh
"Electric Usage",G159732081-1,2024-01-01,03:45,35.93,kWh
"Electric Usage",G159732081-1,2024-01-01,04:00,34.75,kWh
"Electric Usage",G159732081-1,2024-01-01,04:15,35.24,kWh
"Electric Usage",G159732081-1,2024-01-01,04:30,35.81,kWh
"Electric Usage",G159732081-1,2024-01-01,04:45,35.37,kWh
"Electric Usage",G159732081-1,2024-01-01,05:00,35.19,kWh
"Electric Usage",G159732081-1,2024-01-01,05:15,34.6,kWh
"Electric Usage",G159732081-1,2024-01-01,05:30,35.22,kWh
"Electric Usage",G159732081-1,2024-01-01,05:45,35.66,kWh
"Electric Usage",G159732081-1,2024-01-01,06:00,35.41,kWh
"Electric Usage",G159732081-1,2024-01-01,06:15,35.72,kWh
"Electric Usage",G159732081-1,2024-01-01,06:30,35.04,kWh
"Electric Usage",G159732081-1,2024-01-01,06:45,35.46,kWh
"Electric Usage",G159732081-1,2024-01-01,07:00,35.31,kWh
"Electric Usage",G159732081-1,2024-01-01,07:15,34.39,kWh
"Electric Usage",G159732081-1,2024-01-01,07:30,35.72,kWh
"Electric Usage",G159732081-1,2024-01-01,07:45,34.74,kWh
"Electric Usage",G159732081-1,2024-01-01,08:00,35.07,kWh
"Electric Usage",G159732081-1,2024-01-01,08:15,35.19,kWh
"Electric Usage",G159732081-1,2024-01-01,08:30,34.71,kWh
"Electric Usage",G159732081-1,2024-01-01,08:45,35.1,kWh
"Electric Usage",G159732081-1,2024-01-01,09:00,35.14,kWh
"Electric Usage",G159732081-1,2024-01-01,09:15,34.24,kWh
"Electric Usage",G159732081-1,2024-01-01,09:30,34.25,kWh
"Electric Usage",G159732081-1,2024-01-01,09:45,33.39,kWh
"Electric Usage",G159732081-1,2024-01-01,10:00,29.67,kWh
"Electric Usage",G159732081-1,2024-01-01,10:15,29.21,kWh
"Electric Usage",G159732081-1,2024-01-01,10:30,29.35,kWh
"Electric Usage",G159732081-1,2024-01-01,10:45,29.44,kWh
"Electric Usage",G159732081-1,2024-01-01,11:00,29.02,kWh
"Electric Usage",G159732081-1,2024-01-01,11:15,31.45,kWh
"Electric Usage",G159732081-1,2024-01-01,11:30,34.38,kWh
"Electric Usage",G159732081-1,2024-01-01,11:45,34.62,kWh
"Electric Usage",G159732081-1,2024-01-01,12:00,35.02,kWh
"Electric Usage",G159732081-1,2024-01-01,12:15,34.1,kWh
"Electric Usage",G159732081-1,2024-01-01,12:30,34.75,kWh
"Electric Usage",G159732081-1,2024-01-01,12:45,34.67,kWh
"Electric Usage",G159732081-1,2024-01-01,13:00,34.69,kWh
