DATETIME,ACCOUNT NUMBER,TYPE,USAGE UNIT,USAGE
2024-01-31,8729390000,Electric,kWh,131.9
2024-02-29,8729390000,Electric,kWh,113.79
2024-03-31,8729390000,Electric,kWh,86.85000000000001
2024-04-30,8729390000,Electric,kWh,166.09
2024-05-31,8729390000,Electric,kWh,186.73
2024-06-30,8729390000,Electric,kWh,370.02
2024-07-31,8729390000,Electric,kWh,482.43
2024-08-31,8729390000,Electric,kWh,224.83
2024-09-30,8729390000,Electric,kWh,122.98
2024-10-31,8729390000,Electric,kWh,115.83
2024-11-30,8729390000,Electric,kWh,90.3
2024-12-31,8729390000,Electric,kWh,144.86
2024-01-31,2855281000,Electric,kWh,19830.43
2024-02-29,2855281000,Electric,kWh,19824.34
2024-03-31,2855281000,Electric,kWh,14973.83
2024-04-30,2855281000,Electric,kWh,15931.7
2024-05-31,2855281000,Electric,kWh,10017.07
2024-06-30,2855281000,Electric,kWh,6699.06
2024-07-31,2855281000,Electric,kWh,10344.08
2024-08-31,2855281000,Electric,kWh,9900.0
2024-09-30,2855281000,Electric,kWh,14687.13
2024-10-31,2855281000,Electric,kWh,13554.71
2024-11-30,2855281000,Electric,kWh,13848.14
2024-12-31,2855281000,Electric,kWh,18162.02
2024-01-31,9638521000,Electric,kWh,24507.02
2024-02-29,9638521000,Electric,kWh,23747.66
2024-03-31,9638521000,Electric,kWh,17475.34
2024-04-30,9638521000,Electric,kWh,18098.79
2024-05-31,9638521000,Electric,kWh,12225.88
2024-06-30,9638521000,Electric,kWh,10549.08
2024-07-31,9638521000,Electric,kWh,12933.83
2024-08-31,9638521000,Electric,kWh,11685.2
2024-09-30,9638521000,Electric,kWh,15648.32
2024-10-31,9638521000,Electric,kWh,13752.28
2024-11-30,9638521000,Electric,kWh,15522.64
2024-12-31,9638521000,Electric,kWh,21833.17
2024-01-31,7801000,Electric,kWh,19588.29
2024-02-29,7801000,Electric,kWh,20175.31
2024-03-31,7801000,Electric,kWh,14113.44
2024-04-30,7801000,Electric,kWh,14724.62
2024-05-31,7801000,Electric,kWh,10070.71
2024-06-30,7801000,Electric,kWh,9667.08
2024-07-31,7801000,Electric,kWh,11505.47
2024-08-31,7801000,Electric,kWh,10257.37
2024-09-30,7801000,Electric,kWh,15653.46
2024-10-31,7801000,Electric,kWh,13884.1
2024-11-30,7801000,Electric,kWh,13194.48
2024-12-31,7801000,Electric,kWh,18439.24
2024-01-31,2411512000,Electric,kWh,26365.16
2024-02-29,2411512000,Electric,kWh,22180.68
2024-03-31,2411512000,Electric,kWh,21578.29
2024-04-30,2411512000,Electric,kWh,20849.64
2024-05-31,2411512000,Electric,kWh,20300.72
2024-06-30,2411512000,Electric,kWh,23334.35
2024-07-31,2411512000,Electric,kWh,26389.19
2024-08-31,2411512000,Electric,kWh,26192.39
2024-09-30,2411512000,Electric,kWh,21755.9
2024-10-31,2411512000,Electric,kWh,21118.88
2024-11-30,2411512000,Electric,kWh,22941.15
2024-12-31,2411512000,Electric,kWh,27297.23
2024-01-31,6126841000,Gas,Therms,15117.45000000001
2024-02-29,6126841000,Gas,Therms,13154.44
2024-03-31,6126841000,Gas,Therms,9463.030000000006
2024-04-30,6126841000,Gas,Therms,4960.989999999999
2024-05-31,6126841000,Gas,Therms,1508.0500000000086
2024-06-30,6126841000,Gas,Therms,1121.9799999999932
2024-07-31,6126841000,Gas,Therms,1268.7799999999927
2024-08-31,6126841000,Gas,Therms,1126.619999999995
2024-09-30,6126841000,Gas,Therms,392.14999999999833
2024-10-31,6126841000,Gas,Therms,1632.2299999999993
2024-11-30,6126841000,Gas,Therms,6715.62000000001
2024-12-31,6126841000,Gas,Therms,14210.020000000006
2024-01-31,1214810000,Electric,kWh,28668.45
2024-02-29,1214810000,Electric,kWh,24767.54
2024-03-31,1214810000,Electric,kWh,20913.08
2024-04-30,1214810000,Electric,kWh,16529.89
2024-05-31,1214810000,Electric,kWh,14154.06
2024-06-30,1214810000,Electric,kWh,18919.49
2024-07-31,1214810000,Electric,kWh,22356.23
2024-08-31,1214810000,Electric,kWh,18125.1
2024-09-30,1214810000,Electric,kWh,14017.41
2024-10-31,1214810000,Electric,kWh,13711.32
2024-11-30,1214810000,Electric,kWh,17106.32
2024-12-31,1214810000,Electric,kWh,27506.51
2024-01-31,1660760000,Gas,Therms,997.2999999999997
2024-02-29,1660760000,Gas,Therms,847.7999999999997
2024-03-31,1660760000,Gas,Therms,559.1599999999997
2024-04-30,1660760000,Gas,Therms,353.47999999999934
2024-05-31,1660760000,Gas,Therms,114.78999999999995
2024-06-30,1660760000,Gas,Therms,38.5
2024-07-31,1660760000,Gas,Therms,46.71
2024-08-31,1660760000,Gas,Therms,48.980000000000004
2024-09-30,1660760000,Gas,Therms,188.39
2024-10-31,1660760000,Gas,Therms,295.30999999999943
2024-11-30,1660760000,Gas,Therms,454.86999999999995
2024-12-31,1660760000,Gas,Therms,933.9399999999999
2024-01-31,8813957626,Gas,Therms,425.65
2024-02-29,8813957626,Gas,Therms,288.01
2024-03-31,8813957626,Gas,Therms,208.59
2024-04-30,8813957626,Gas,Therms,101.88
2024-05-31,8813957626,Gas,Therms,21.16
2024-06-30,8813957626,Gas,Therms,7.21
2024-07-31,8813957626,Gas,Therms,6.65
2024-08-31,8813957626,Gas,Therms,6.33
2024-09-30,8813957626,Gas,Therms,6.95
2024-10-31,8813957626,Gas,Therms,46.93
2024-11-30,8813957626,Gas,Therms,165.67000000000002
2024-12-31,8813957626,Gas,Therms,398.29
2024-01-31,9643421000,Electric,kWh,962.52
2024-02-29,9643421000,Electric,kWh,1140.13
2024-03-31,9643421000,Electric,kWh,819.3
2024-04-30,9643421000,Electric,kWh,869.1
2024-05-31,9643421000,Electric,kWh,395.45
2024-06-30,9643421000,Electric,kWh,187.42000000000002
2024-07-31,9643421000,Electric,kWh,774.22
2024-08-31,9643421000,Electric,kWh,823.47
2024-09-30,9643421000,Electric,kWh,749.87
2024-10-31,9643421000,Electric,kWh,793.6899999999999
2024-11-30,9643421000,Electric,kWh,600.4
